SUMLEV,STATE,COUNTY,REGION,DIVISION,ctyname,STNAME,POPESTIMATE2003,POPESTIMATE2002,NPOPCHG_2003,PPOPCHG_2003,SRANK_POPEST2003,SRANK_POPEST2002,SRANK_NPCHG2003,SRANK_PPCHG2003
040,06,000,4,9,California,California,35462712,34988261,474451,1.3560290979,,,,
050,06,001,4,9,Alameda County,California,1458749,1463948,-5199,-0.355135565,7,7,57,54
050,06,003,4,9,Alpine County,California,1188,1216,-28,-2.302631579,58,58,52,58
050,06,005,4,9,Amador County,California,37331,36816,515,1.3988483268,46,46,38,27
050,06,007,4,9,Butte County,California,211151,208713,2438,1.1681112341,27,27,23,34
050,06,009,4,9,Calaveras County,California,44727,43143,1584,3.6715110215,44,45,27,4
050,06,011,4,9,Colusa County,California,19755,19370,385,1.9876097057,51,51,45,20
050,06,013,4,9,Contra Costa County,California,999930,988602,11328,1.1458605182,9,9,11,35
050,06,015,4,9,Del Norte County,California,27902,27545,357,1.2960609911,48,48,46,31
050,06,017,4,9,El Dorado County,California,169199,165767,3432,2.070375889,30,30,19,19
050,06,019,4,9,Fresno County,California,850650,832057,18593,2.2345824865,10,10,9,14
050,06,021,4,9,Glenn County,California,27227,26807,420,1.5667549521,49,49,43,24
050,06,023,4,9,Humboldt County,California,127908,127424,484,0.3798342541,35,35,41,47
050,06,025,4,9,Imperial County,California,148924,145702,3222,2.2113629188,31,31,20,16
050,06,027,4,9,Inyo County,California,18364,18299,65,0.3552106672,52,52,50,48
050,06,029,4,9,Kern County,California,713445,693060,20385,2.9413037832,13,14,7,9
050,06,031,4,9,Kings County,California,138708,134543,4165,3.0956645831,32,32,17,6
050,06,033,4,9,Lake County,California,63397,62274,1123,1.803320808,40,40,34,23
050,06,035,4,9,Lassen County,California,34153,33642,511,1.518934665,47,47,39,25
050,06,037,4,9,Los Angeles County,California,9860382,9763844,96538,0.9887294389,1,1,1,39
050,06,039,4,9,Madera County,California,133696,128815,4881,3.7891549897,33,34,16,3
050,06,041,4,9,Marin County,California,246635,247191,-556,-0.224927283,25,25,54,52
050,06,043,4,9,Mariposa County,California,17797,17318,479,2.7659083035,53,53,42,11
050,06,045,4,9,Mendocino County,California,88476,87599,877,1.0011529812,37,37,36,38
050,06,047,4,9,Merced County,California,231397,224934,6463,2.8732872754,26,26,15,10
050,06,049,4,9,Modoc County,California,9465,9358,107,1.1434067108,56,56,49,36
050,06,051,4,9,Mono County,California,12831,12997,-166,-1.277217819,55,55,53,56
050,06,053,4,9,Monterey County,California,414423,411578,2845,0.6912420003,18,18,21,44
050,06,055,4,9,Napa County,California,131751,129991,1760,1.3539398881,34,33,26,28
050,06,057,4,9,Nevada County,California,96252,95102,1150,1.2092279868,36,36,33,33
050,06,059,4,9,Orange County,California,2960149,2927943,32206,1.099953107,2,2,4,37
050,06,061,4,9,Placer County,California,293630,279011,14619,5.2395783679,22,22,10,1
050,06,063,4,9,Plumas County,California,21198,21012,186,0.8852084523,50,50,48,42
050,06,065,4,9,Riverside County,California,1782822,1694623,88199,5.2046384358,5,5,2,2
050,06,067,4,9,Sacramento County,California,1330730,1301716,29014,2.2289040006,8,8,5,15
050,06,069,4,9,San Benito County,California,56187,55686,501,0.8996875337,43,43,40,41
050,06,071,4,9,San Bernardino County,California,1862195,1808893,53302,2.9466640647,4,4,3,7
050,06,073,4,9,San Diego County,California,2918829,2896098,22731,0.7848836607,3,3,6,43
050,06,075,4,9,San Francisco County,California,751908,761983,-10075,-1.322207976,12,12,58,57
050,06,077,4,9,San Joaquin County,California,631876,612564,19312,3.1526501721,15,15,8,5
050,06,079,4,9,San Luis Obispo County,California,253072,252055,1017,0.4034833667,23,24,35,46
050,06,081,4,9,San Mateo County,California,699094,701271,-2177,-0.310436336,14,13,56,53
050,06,083,4,9,Santa Barbara County,California,402795,401481,1314,0.3272882154,20,20,30,49
050,06,085,4,9,Santa Clara County,California,1675915,1674598,1317,0.0786457406,6,6,29,51
050,06,087,4,9,Santa Cruz County,California,251725,253352,-1627,-0.642189523,24,23,55,55
050,06,089,4,9,Shasta County,California,175654,171923,3731,2.1701575705,29,29,18,17
050,06,091,4,9,Sierra County,California,3546,3499,47,1.343240926,57,57,51,29
050,06,093,4,9,Siskiyou County,California,44630,44231,399,0.90208225,45,44,44,40
050,06,095,4,9,Solano County,California,411636,409503,2133,0.5208753049,19,19,25,45
050,06,097,4,9,Sonoma County,California,467304,465902,1402,0.3009216531,17,17,28,50
050,06,099,4,9,Stanislaus County,California,491014,480233,10781,2.2449519296,16,16,12,13
050,06,101,4,9,Sutter County,California,84670,82247,2423,2.9460041096,38,38,24,8
050,06,103,4,9,Tehama County,California,58892,57652,1240,2.1508360508,41,41,31,18
050,06,105,4,9,Trinity County,California,13502,13256,246,1.8557634279,54,54,47,22
050,06,107,4,9,Tulare County,California,391084,381280,9804,2.5713386488,21,21,13,12
050,06,109,4,9,Tuolumne County,California,56790,56044,746,1.3310969952,42,42,37,30
050,06,111,4,9,Ventura County,California,790560,780863,9697,1.2418311535,11,11,14,32
050,06,113,4,9,Yolo County,California,181898,179327,2571,1.433693755,28,28,22,26
050,06,115,4,9,Yuba County,California,63594,62360,1234,1.978832585,39,39,32,21
