state,city,latitude,longitude                                                                                                 
AL,Abanda CDP,33.091627,-85.527029
AL,Abbeville city,31.564724,-85.259123
AL,Adamsville city,33.602315,-86.971527
AL,Addison town,34.202681,-87.178004
AL,Akron town,32.879066,-87.740899
AL,Alabaster city,33.244399,-86.847372
AL,Albertville city,34.26313,-86.21066
AL,Alexander City city,32.92724,-85.937122
AL,Alexandria CDP,33.760819,-85.872008
AL,Aliceville city,33.123706,-88.159344
AL,Allgood town,33.907623,-86.516109
AL,Altoona town,34.040014,-86.305179
AL,Andalusia city,31.309436,-86.478031
AL,Anderson town,34.915675,-87.274274
AL,Anniston city,33.673469,-85.810891
AL,Arab city,34.332387,-86.501167
AL,Ardmore town,34.987838,-86.829022
AL,Argo town,33.691018,-86.505281
AL,Ariton town,31.597772,-85.713061
AL,Arley town,34.076234,-87.217831
AL,Ashford town,31.185284,-85.236236
AL,Ashland town,33.269892,-85.833706
AL,Ashville city,33.835197,-86.270015
AL,Athens city,34.779021,-86.950799
AL,Atmore city,31.124067,-87.457798
AL,Attalla city,33.986189,-86.121037
AL,Auburn city,32.607722,-85.489545
AL,Autaugaville town,32.432563,-86.658752
AL,Avon town,31.179727,-85.279211
AL,Axis CDP,30.922171,-88.02262
AL,Babbie town,31.302083,-86.319437
AL,Baileyton town,34.260858,-86.608788
AL,Bakerhill town,31.776923,-85.295408
AL,Ballplay CDP,34.023047,-85.801478
AL,Banks town,31.813264,-85.836434
AL,Bay Minette city,30.894436,-87.791306
AL,Bayou La Batre city,30.407586,-88.263271
AL,Bear Creek town,34.255481,-87.713399
AL,Beatrice town,31.733309,-87.209046
AL,Beaverton town,33.935411,-88.021778
AL,Belgreen CDP,34.47454,-87.861678
AL,Belk town,33.651641,-87.92861
AL,Bellamy CDP,32.463658,-88.131481
AL,Belle Fontaine CDP,30.489492,-88.10594
AL,Benton town,32.307931,-86.817546
AL,Berlin town,34.178105,-86.757907
AL,Berry town,33.666702,-87.609311
AL,Bessemer city,33.370858,-86.971522
AL,Billingsley town,32.664711,-86.706713
AL,Birmingham city,33.527174,-86.797036
AL,Black town,31.00977,-85.74442
AL,Blountsville town,34.075838,-86.583918
AL,Blue Ridge CDP,32.4989,-86.182436
AL,Blue Springs town,31.663516,-85.503526
AL,Boaz city,34.19902,-86.155151
AL,Boligee town,32.768081,-88.02859
AL,Bon Air town,33.25937,-86.327148
AL,Bon Secour CDP,30.318246,-87.72439
AL,Boykin CDP,32.068375,-87.294343
AL,Brantley town,31.581992,-86.256784
AL,Brantleyville CDP,33.219303,-86.882522
AL,Brent city,32.944893,-87.172088
AL,Brewton city,31.109175,-87.076583
AL,Bridgeport city,34.949312,-85.723765
AL,Brighton city,33.439551,-86.945404
AL,Brilliant town,34.025671,-87.769047
AL,Bristow Cove CDP,34.109216,-86.240993
AL,Brook Highland CDP,33.440378,-86.68488
AL,Brookside town,33.634617,-86.906314
AL,Brookwood town,33.239842,-87.331488
AL,Broomtown CDP,34.365728,-85.532112
AL,Brundidge city,31.717639,-85.81755
AL,Bucks CDP,31.016881,-88.026385
AL,Butler town,32.096479,-88.210781
AL,Calera city,33.122319,-86.745644
AL,Calvert CDP,31.149898,-88.021549
AL,Camden city,31.998493,-87.28895
AL,Camp Hill town,32.797327,-85.655833
AL,Carbon Hill city,33.894991,-87.522078
AL,Cardiff town,33.64729,-86.930637
AL,Carlisle-Rockledge CDP,34.114451,-86.124073
AL,Carlton CDP,31.348571,-87.835666
AL,Carolina town,31.23415,-86.521001
AL,Carrollton town,33.261903,-88.095071
AL,Castleberry town,31.299678,-87.029129
AL,Catherine CDP,32.18617,-87.469978
AL,Cedar Bluff town,34.221422,-85.588565
AL,Center Point city,33.643903,-86.684567
AL,Centre city,34.153059,-85.671683
AL,Centreville city,32.958967,-87.132043
AL,Chatom town,31.469145,-88.246019
AL,Chelsea city,33.326887,-86.629519
AL,Cherokee town,34.7577,-87.965589
AL,Chickasaw city,30.77145,-88.079697
AL,Childersburg city,33.292549,-86.340844
AL,Choccolocco CDP,33.667728,-85.707191
AL,Chunchula CDP,30.927194,-88.2082
AL,Citronelle city,31.097269,-88.249843
AL,Clanton city,32.845572,-86.619494
AL,Clay city,33.696583,-86.608182
AL,Clayhatchee town,31.236925,-85.721478
AL,Clayton town,31.882277,-85.460454
AL,Cleveland town,34.002179,-86.561352
AL,Clio city,31.708516,-85.611039
AL,Coaling town,33.169901,-87.349887
AL,Coats Bend CDP,34.073273,-85.874602
AL,Coffee Springs town,31.165836,-85.910898
AL,Coffeeville town,31.766564,-88.086049
AL,Coker town,33.243752,-87.681329
AL,Collinsville town,34.267224,-85.86861
AL,Colony town,33.941393,-86.902001
AL,Columbia town,31.295351,-85.110202
AL,Columbiana city,33.191452,-86.615618
AL,Concord CDP,33.461988,-87.040429
AL,Coosada town,32.495394,-86.326543
AL,Cordova city,33.761788,-87.199416
AL,Cottondale CDP,33.193047,-87.454861
AL,Cottonwood town,31.054033,-85.29956
AL,County Line town,33.820724,-86.719467
AL,Courtland town,34.669946,-87.327892
AL,Cowarts town,31.206248,-85.309769
AL,Creola city,30.874249,-88.009536
AL,Crossville town,34.282697,-85.999737
AL,Cuba town,32.440733,-88.374798
AL,Cullman city,34.17687,-86.840656
AL,Cullomburg CDP,31.713061,-88.291774
AL,Cusseta town,32.787637,-85.305769
AL,Dadeville city,32.826114,-85.776201
AL,Daleville city,31.291533,-85.711711
AL,Daphne city,30.627702,-87.883992
AL,Dauphin Island town,30.250913,-88.171268
AL,Daviston town,33.056839,-85.634329
AL,Dayton town,32.350958,-87.641573
AL,Deatsville town,32.589044,-86.389059
AL,Decatur city,34.572995,-86.989901
AL,Deer Park CDP,31.218369,-88.328023
AL,Delta CDP,33.440524,-85.675905
AL,Demopolis city,32.499744,-87.826678
AL,Detroit town,34.027379,-88.167831
AL,Dodge City town,34.043275,-86.885524
AL,Dora city,33.728116,-87.081292
